Class Index,Class Name,AP50-95
-,OVERALL,0.4795
21,bear,0.8013
15,cat,0.7765
6,train,0.7557
23,giraffe,0.7547
4,airplane,0.7535
10,fire hydrant,0.7493
22,zebra,0.7413
5,bus,0.7309
16,dog,0.7289
61,toilet,0.7152
29,frisbee,0.7149
20,elephant,0.7132
11,stop sign,0.7125
63,laptop,0.6928
17,horse,0.6792
72,refrigerator,0.672
68,microwave,0.6505
62,tv,0.6466
19,cow,0.6289
64,mouse,0.6161
18,sheep,0.5976
53,pizza,0.5928
0,person,0.5927
36,skateboard,0.5853
66,keyboard,0.579
77,teddy bear,0.5574
38,tennis racket,0.5543
57,couch,0.5412
59,bed,0.5272
12,parking meter,0.526
74,clock,0.5201
3,motorcycle,0.51
70,toaster,0.4937
54,donut,0.4847
28,suitcase,0.4747
69,oven,0.4725
33,kite,0.4713
2,car,0.465
32,sports ball,0.4644
25,umbrella,0.462
45,bowl,0.4559
41,cup,0.4541
37,surfboard,0.4513
55,cake,0.4437
52,hot dog,0.441
35,baseball glove,0.4361
42,fork,0.4285
48,sandwich,0.4276
7,truck,0.4253
71,sink,0.4211
75,vase,0.4209
76,scissors,0.4132
31,snowboard,0.4126
39,bottle,0.4053
40,wine glass,0.4039
34,baseball bat,0.3979
67,cell phone,0.3939
27,tie,0.3913
14,bird,0.3854
60,dining table,0.3697
49,orange,0.367
56,chair,0.3666
1,bicycle,0.3646
79,toothbrush,0.3478
65,remote,0.3351
58,potted plant,0.3105
8,boat,0.3057
13,bench,0.3026
30,skis,0.3015
9,traffic light,0.2906
50,broccoli,0.2594
46,banana,0.2537
51,carrot,0.2441
43,knife,0.2321
44,spoon,0.2124
47,apple,0.2032
26,handbag,0.1796
24,backpack,0.1692
73,book,0.1455
78,hair drier,0.0838
